lon,lat,Y,lambda_est,sigma_ou_sq_est,sigma_i_sq
-80.0000000000,29.8999996185,0.0000004715,0.3442459833,0.0335932337,0.0488924846
-80.0000000000,30.0000000000,-0.0000006429,0.3521598699,0.0352970958,0.0502151590
-80.0000000000,30.1000003815,0.0000003893,0.3553492209,0.0368891247,0.0520054531
-80.0000000000,30.2000007629,0.0000004893,0.3577394760,0.0387814380,0.0543034646
-80.0000000000,30.2999992371,-0.0000001929,0.3608289894,0.0411244147,0.0570860181
-80.0000000000,30.3999996185,0.0000007787,0.3644776646,0.0439212881,0.0603523726
-80.0000000000,30.5000000000,-0.0000001250,0.3678112950,0.0469471067,0.0639195555
-80.0000000000,30.6000003815,-0.0000002607,0.3706412095,0.0502599739,0.0679013839
-80.0000000000,30.7000007629,-0.0000012787,0.3737920415,0.0541879833,0.0725841319
-80.0000000000,30.7999992371,0.0000001464,0.3771375728,0.0587333366,0.0779672570
-80.0000000000,30.8999996185,-0.0000001393,0.3796356457,0.0635732636,0.0838293130
-80.0000000000,31.0000000000,0.0000001357,0.3769794115,0.0670906529,0.0890845053
-80.0000000000,31.1000003815,0.0000002250,0.3748580630,0.0711672679,0.0950256197
-80.0000000000,31.2000007629,-0.0000006215,0.3732114777,0.0758015439,0.1016530717
-80.0000000000,31.2999992371,0.0000001786,0.3719767148,0.0809921026,0.1089671675
-80.0000000000,31.3999996185,0.0000006822,0.3637909338,0.0829265788,0.1140755985
-80.0000000000,31.5000000000,-0.0000004322,0.3555325336,0.0848236084,0.1193909233
-80.0000000000,31.6000003815,-0.0000009858,0.3483355905,0.0872718170,0.1253697390
-80.0000000000,31.7000007629,0.0000005965,0.3421131863,0.0902598277,0.1320151545
-80.0000000000,31.7999992371,0.0000003608,0.3339394101,0.0917005762,0.1374012191
-80.0000000000,31.8999996185,0.0000009251,0.3245220161,0.0922936425,0.1422993545
-80.0000000000,32.0000000000,0.0000006394,0.3157617489,0.0934107080,0.1480132737
